Hand,win%,tie%,loss%
22 Offsuit,13.7,0.4,85.9
23 Offsuit,7.0,1.7,91.3
24 Offsuit,7.3,2.0,90.7
25 Offsuit,7.6,2.0,90.3
26 Offsuit,6.8,1.8,91.3
27 Offsuit,5.7,2.0,92.3
28 Offsuit,6.4,2.0,91.6
29 Offsuit,6.5,2.3,91.3
210 Offsuit,7.3,2.4,90.4
2J Offsuit,8.3,2.5,89.2
2Q Offsuit,9.8,2.4,87.7
2K Offsuit,12.8,2.9,84.4
2A Offsuit,17.1,3.7,79.2
33 Offsuit,13.8,0.5,85.7
34 Offsuit,8.5,2.0,89.5
35 Offsuit,8.7,2.3,89.1
36 Offsuit,7.6,2.2,90.1
37 Offsuit,7.1,2.0,90.9
38 Offsuit,6.1,2.3,91.6
39 Offsuit,7.2,2.5,90.3
310 Offsuit,7.5,2.7,89.8
3J Offsuit,8.4,2.8,88.8
3Q Offsuit,10.0,2.6,87.3
3K Offsuit,12.0,3.4,84.7
3A Offsuit,17.6,4.0,78.4
44 Offsuit,14.4,0.7,85.0
45 Offsuit,9.8,2.5,87.7
46 Offsuit,8.9,2.3,88.8
47 Offsuit,8.0,2.5,89.5
48 Offsuit,7.2,2.4,90.4
49 Offsuit,6.7,2.5,90.8
410 Offsuit,7.8,2.6,89.6
4J Offsuit,8.6,2.8,88.6
4Q Offsuit,10.1,2.8,87.2
4K Offsuit,12.4,3.1,84.5
4A Offsuit,17.6,4.3,78.1
55 Offsuit,14.8,0.9,84.3
56 Offsuit,9.9,2.4,87.8
57 Offsuit,9.2,2.6,88.3
58 Offsuit,8.6,2.2,89.2
59 Offsuit,8.2,2.6,89.2
510 Offsuit,7.9,3.1,89.1
5J Offsuit,8.7,3.3,88.0
5Q Offsuit,10.5,3.1,86.5
5K Offsuit,12.7,3.6,83.7
5A Offsuit,18.1,4.2,77.7
66 Offsuit,15.7,0.6,83.7
67 Offsuit,10.9,2.6,86.5
68 Offsuit,9.7,2.6,87.6
69 Offsuit,9.5,2.4,88.1
610 Offsuit,8.7,2.7,88.7
6J Offsuit,9.2,2.6,88.2
6Q Offsuit,10.0,2.9,87.1
6K Offsuit,13.3,3.5,83.3
6A Offsuit,17.2,3.6,79.2
77 Offsuit,16.4,0.8,82.8
78 Offsuit,10.2,2.5,87.3
79 Offsuit,10.5,2.6,86.8
710 Offsuit,10.3,2.7,86.9
7J Offsuit,9.8,2.9,87.4
7Q Offsuit,10.7,2.9,86.4
7K Offsuit,13.4,3.3,83.3
7A Offsuit,17.7,3.4,78.8
88 Offsuit,17.3,0.8,81.9
89 Offsuit,11.5,2.5,86.0
810 Offsuit,11.2,2.6,86.2
8J Offsuit,11.5,2.6,85.9
8Q Offsuit,11.5,3.0,85.5
8K Offsuit,13.9,2.7,83.5
8A Offsuit,17.8,4.1,78.1
99 Offsuit,18.8,0.7,80.5
910 Offsuit,13.0,2.7,84.2
9J Offsuit,13.1,2.5,84.4
9Q Offsuit,13.7,2.5,83.9
9K Offsuit,16.4,2.7,81.0
9A Offsuit,18.6,3.6,77.7
1010 Offsuit,20.1,1.1,78.8
10J Offsuit,14.4,2.8,82.8
10Q Offsuit,15.6,2.7,81.7
10K Offsuit,17.1,2.8,80.0
10A Offsuit,21.2,3.1,75.6
JJ Offsuit,21.7,0.8,77.6
JQ Offsuit,16.5,2.6,80.8
JK Offsuit,17.9,2.5,79.6
JA Offsuit,22.6,2.7,74.7
QQ Offsuit,26.1,0.6,73.3
QK Offsuit,18.9,2.3,78.8
QA Offsuit,22.9,2.6,74.5
KK Offsuit,32.6,0.6,66.8
KA Offsuit,24.3,2.2,73.5
AA Offsuit,43.2,0.6,56.2
23 Suited,10.8,1.4,87.8
24 Suited,11.6,1.7,86.7
25 Suited,12.1,1.7,86.3
26 Suited,10.8,1.6,87.6
27 Suited,9.9,1.9,88.2
28 Suited,10.0,2.1,87.9
29 Suited,11.1,2.0,86.9
210 Suited,11.5,2.0,86.5
2J Suited,12.6,2.2,85.2
2Q Suited,14.4,2.5,83.1
2K Suited,17.4,2.7,79.9
2A Suited,21.5,3.7,74.8
34 Suited,12.6,1.8,85.6
35 Suited,12.7,1.9,85.4
36 Suited,11.7,2.2,86.2
37 Suited,11.2,2.0,86.8
38 Suited,10.8,2.2,87.1
39 Suited,10.8,2.0,87.2
310 Suited,11.7,2.3,86.1
3J Suited,12.0,2.6,85.4
3Q Suited,14.1,2.6,83.3
3K Suited,16.6,3.0,80.4
3A Suited,22.4,3.8,73.7
45 Suited,12.4,2.4,85.2
46 Suited,12.6,2.0,85.4
47 Suited,12.0,2.1,85.9
48 Suited,11.9,2.2,85.9
49 Suited,11.6,2.3,86.1
410 Suited,11.9,2.8,85.3
4J Suited,13.6,2.6,83.8
4Q Suited,14.6,2.9,82.5
4K Suited,16.5,2.8,80.7
4A Suited,21.8,3.9,74.3
56 Suited,13.3,2.1,84.6
57 Suited,12.6,2.4,85.0
58 Suited,12.2,2.3,85.5
59 Suited,11.8,2.3,85.9
510 Suited,11.8,2.4,85.8
5J Suited,13.1,2.8,84.1
5Q Suited,14.9,3.0,82.1
5K Suited,17.8,3.2,79.1
5A Suited,22.0,3.9,74.1
67 Suited,14.2,2.5,83.3
68 Suited,13.8,2.6,83.7
69 Suited,13.3,2.4,84.2
610 Suited,12.8,2.4,84.8
6J Suited,13.2,2.6,84.2
6Q Suited,15.1,2.6,82.3
6K Suited,16.8,2.8,80.4
6A Suited,21.2,3.9,74.9
78 Suited,14.7,2.4,82.9
79 Suited,14.3,2.3,83.4
710 Suited,14.4,2.8,82.8
7J Suited,14.5,2.6,83.0
7Q Suited,15.0,2.8,82.1
7K Suited,17.4,3.1,79.4
7A Suited,21.4,4.0,74.6
89 Suited,15.2,2.1,82.7
810 Suited,15.6,2.7,81.8
8J Suited,14.9,2.4,82.7
8Q Suited,16.2,2.3,81.5
8K Suited,17.3,2.8,79.9
8A Suited,22.5,3.2,74.2
910 Suited,16.9,2.6,80.5
9J Suited,16.2,2.6,81.2
9Q Suited,17.4,2.5,80.1
9K Suited,19.5,2.6,77.9
9A Suited,22.8,2.9,74.2
10J Suited,19.5,2.6,78.0
10Q Suited,19.7,2.9,77.5
10K Suited,21.0,2.8,76.1
10A Suited,24.4,3.4,72.2
JQ Suited,20.1,2.2,77.8
JK Suited,22.0,2.3,75.8
JA Suited,25.4,2.8,71.9
QK Suited,22.1,2.4,75.5
