Hand,win%,tie%,loss%
22 Offsuit,18.0,0.7,81.3
23 Offsuit,9.7,2.0,88.3
24 Offsuit,10.3,2.1,87.6
25 Offsuit,10.5,2.3,87.2
26 Offsuit,9.4,2.2,88.3
27 Offsuit,8.7,2.5,88.8
28 Offsuit,9.7,2.7,87.6
29 Offsuit,10.9,2.7,86.4
210 Offsuit,12.0,2.8,85.3
2J Offsuit,13.2,2.8,84.1
2Q Offsuit,16.6,2.9,80.5
2K Offsuit,19.5,3.4,77.1
2A Offsuit,25.4,4.1,70.5
33 Offsuit,19.1,0.7,80.2
34 Offsuit,12.3,2.3,85.4
35 Offsuit,12.7,2.4,84.9
36 Offsuit,11.7,2.1,86.2
37 Offsuit,9.9,2.5,87.6
38 Offsuit,10.4,2.4,87.1
39 Offsuit,11.5,2.7,85.8
310 Offsuit,12.3,2.8,84.9
3J Offsuit,13.5,3.0,83.5
3Q Offsuit,15.9,3.3,80.8
3K Offsuit,18.8,3.3,77.9
3A Offsuit,25.1,4.1,70.8
44 Offsuit,20.5,0.7,78.9
45 Offsuit,13.2,2.7,84.1
46 Offsuit,13.0,2.4,84.6
47 Offsuit,11.4,2.5,86.1
48 Offsuit,10.9,2.5,86.6
49 Offsuit,10.7,2.7,86.6
410 Offsuit,12.6,3.1,84.3
4J Offsuit,13.8,3.2,83.0
4Q Offsuit,15.9,3.3,80.8
4K Offsuit,20.5,3.5,75.9
4A Offsuit,25.8,4.2,70.0
55 Offsuit,20.3,0.8,78.9
56 Offsuit,13.7,2.5,83.8
57 Offsuit,13.9,2.6,83.6
58 Offsuit,12.6,2.6,84.8
59 Offsuit,12.0,2.9,85.1
510 Offsuit,11.8,3.1,85.1
5J Offsuit,13.4,3.0,83.5
5Q Offsuit,16.1,3.6,80.3
5K Offsuit,20.3,3.7,76.0
5A Offsuit,26.4,4.0,69.6
66 Offsuit,21.5,0.8,77.7
67 Offsuit,14.6,2.6,82.8
68 Offsuit,13.6,2.7,83.7
69 Offsuit,13.6,2.8,83.6
610 Offsuit,13.5,2.8,83.7
6J Offsuit,14.3,3.2,82.4
