Hand,win%,tie%,loss%
"2 of Diamonds, 2 of Clubs",17.6,0.7,81.7
"2 of Diamonds, 3 of Clubs",10.0,2.0,88.0
"2 of Diamonds, 4 of Clubs",10.3,2.4,87.3
"2 of Diamonds, 5 of Clubs",10.8,2.2,87.0
"2 of Diamonds, 6 of Clubs",10.3,2.1,87.5
"2 of Diamonds, 7 of Clubs",9.3,2.5,88.2
"2 of Diamonds, 8 of Clubs",9.7,2.2,88.1
"2 of Diamonds, 9 of Clubs",10.4,2.7,86.9
"2 of Diamonds, 10 of Clubs",12.4,2.5,85.0
"2 of Diamonds, J of Clubs",13.7,3.0,83.3
"2 of Diamonds, Q of Clubs",15.9,2.8,81.3
"2 of Diamonds, K of Clubs",19.4,3.2,77.5
"2 of Diamonds, A of Clubs",24.7,4.2,71.1
"3 of Diamonds, 2 of Clubs",9.4,1.7,88.9
"3 of Diamonds, 3 of Clubs",18.8,0.9,80.3
"3 of Diamonds, 4 of Clubs",12.0,2.3,85.7
"3 of Diamonds, 5 of Clubs",12.5,2.6,84.8
"3 of Diamonds, 6 of Clubs",11.2,2.2,86.6
"3 of Diamonds, 7 of Clubs",10.3,2.5,87.2
"3 of Diamonds, 8 of Clubs",10.7,2.4,86.9
"3 of Diamonds, 9 of Clubs",11.0,2.6,86.5
"3 of Diamonds, 10 of Clubs",12.2,2.9,84.9
"3 of Diamonds, J of Clubs",14.0,2.9,83.1
"3 of Diamonds, Q of Clubs",16.6,3.2,80.2
"3 of Diamonds, K of Clubs",19.2,3.4,77.4
"3 of Diamonds, A of Clubs",25.9,4.1,70.0
"4 of Diamonds, 2 of Clubs",10.6,2.3,87.1
"4 of Diamonds, 3 of Clubs",11.6,2.4,86.0
"4 of Diamonds, 4 of Clubs",19.8,0.8,79.4
"4 of Diamonds, 5 of Clubs",13.0,3.0,84.0
"4 of Diamonds, 6 of Clubs",12.2,2.5,85.2
"4 of Diamonds, 7 of Clubs",11.2,2.4,86.4
"4 of Diamonds, 8 of Clubs",11.3,2.7,86.0
"4 of Diamonds, 9 of Clubs",11.2,2.6,86.1
"4 of Diamonds, 10 of Clubs",12.4,2.9,84.8
"4 of Diamonds, J of Clubs",13.9,3.0,83.1
"4 of Diamonds, Q of Clubs",16.6,3.3,80.1
"4 of Diamonds, K of Clubs",19.1,3.7,77.2
"4 of Diamonds, A of Clubs",25.7,4.4,69.9
"5 of Diamonds, 2 of Clubs",11.1,2.2,86.7
"5 of Diamonds, 3 of Clubs",12.1,2.5,85.5
"5 of Diamonds, 4 of Clubs",12.9,2.6,84.5
"5 of Diamonds, 5 of Clubs",20.8,0.9,78.4
"5 of Diamonds, 6 of Clubs",13.5,2.6,83.9
"5 of Diamonds, 7 of Clubs",13.5,2.7,83.8
"5 of Diamonds, 8 of Clubs",12.7,2.7,84.6
"5 of Diamonds, 9 of Clubs",11.5,2.9,85.6
"5 of Diamonds, 10 of Clubs",12.8,3.3,83.8
"5 of Diamonds, J of Clubs",14.2,3.2,82.6
"5 of Diamonds, Q of Clubs",16.3,3.5,80.2
"5 of Diamonds, K of Clubs",19.8,3.6,76.6
"5 of Diamonds, A of Clubs",25.1,4.5,70.5
"6 of Diamonds, 2 of Clubs",9.7,2.3,88.0
"6 of Diamonds, 3 of Clubs",11.2,2.5,86.3
"6 of Diamonds, 4 of Clubs",12.3,2.2,85.5
"6 of Diamonds, 5 of Clubs",13.9,2.6,83.5
"6 of Diamonds, 6 of Clubs",20.8,0.8,78.4
"6 of Diamonds, 7 of Clubs",14.1,3.1,82.8
"6 of Diamonds, 8 of Clubs",14.1,2.6,83.3
"6 of Diamonds, 9 of Clubs",13.6,2.8,83.6
"6 of Diamonds, 10 of Clubs",14.0,3.1,82.9
"6 of Diamonds, J of Clubs",14.0,3.1,82.9
"6 of Diamonds, Q of Clubs",17.2,3.2,79.5
"6 of Diamonds, K of Clubs",20.6,3.3,76.1
"6 of Diamonds, A of Clubs",24.9,4.2,70.9
"7 of Diamonds, 2 of Clubs",8.7,2.3,89.0
"7 of Diamonds, 3 of Clubs",10.1,2.4,87.5
"7 of Diamonds, 4 of Clubs",11.3,2.6,86.1
"7 of Diamonds, 5 of Clubs",13.0,2.7,84.2
"7 of Diamonds, 6 of Clubs",14.3,2.8,82.9
"7 of Diamonds, 7 of Clubs",22.5,0.9,76.6
"7 of Diamonds, 8 of Clubs",15.2,2.8,82.0
"7 of Diamonds, 9 of Clubs",15.1,2.7,82.2
"7 of Diamonds, 10 of Clubs",14.7,3.1,82.2
"7 of Diamonds, J of Clubs",15.7,2.9,81.5
"7 of Diamonds, Q of Clubs",16.8,3.2,79.9
"7 of Diamonds, K of Clubs",20.1,3.5,76.4
"7 of Diamonds, A of Clubs",25.9,4.1,69.9
"8 of Diamonds, 2 of Clubs",10.3,2.5,87.2
"8 of Diamonds, 3 of Clubs",9.3,2.6,88.1
"8 of Diamonds, 4 of Clubs",11.5,2.5,86.0
"8 of Diamonds, 5 of Clubs",13.0,2.6,84.4
"8 of Diamonds, 6 of Clubs",14.1,2.6,83.3
"8 of Diamonds, 7 of Clubs",14.7,2.6,82.7
"8 of Diamonds, 8 of Clubs",24.2,0.8,75.0
"8 of Diamonds, 9 of Clubs",16.7,2.6,80.7
"8 of Diamonds, 10 of Clubs",17.1,3.0,79.9
"8 of Diamonds, J of Clubs",17.0,2.8,80.2
"8 of Diamonds, Q of Clubs",18.5,3.0,78.6
"8 of Diamonds, K of Clubs",20.4,3.2,76.4
"8 of Diamonds, A of Clubs",25.9,3.9,70.2
"9 of Diamonds, 2 of Clubs",10.6,2.4,87.0
"9 of Diamonds, 3 of Clubs",11.0,2.9,86.1
"9 of Diamonds, 4 of Clubs",11.1,2.8,86.1
"9 of Diamonds, 5 of Clubs",12.3,2.7,85.1
"9 of Diamonds, 6 of Clubs",13.9,2.6,83.5
"9 of Diamonds, 7 of Clubs",14.8,2.9,82.3
"9 of Diamonds, 8 of Clubs",16.0,2.5,81.5
"9 of Diamonds, 9 of Clubs",25.3,1.0,73.8
