Hand,win%,tie%,loss%
"2 of Diamonds, 2 of Clubs",17.6,0.7,81.8
"2 of Diamonds, 3 of Clubs",9.8,1.9,88.3
"2 of Diamonds, 4 of Clubs",10.6,2.2,87.2
"2 of Diamonds, 5 of Clubs",10.4,2.5,87.0
"2 of Diamonds, 6 of Clubs",9.7,2.4,87.9
"2 of Diamonds, 7 of Clubs",8.8,2.3,88.9
"2 of Diamonds, 8 of Clubs",9.8,2.6,87.5
"2 of Diamonds, 9 of Clubs",10.9,2.6,86.5
"2 of Diamonds, 10 of Clubs",11.1,3.0,85.9
"2 of Diamonds, J of Clubs",13.7,2.6,83.8
"2 of Diamonds, Q of Clubs",15.7,2.8,81.5
"2 of Diamonds, K of Clubs",18.9,3.2,77.8
"2 of Diamonds, A of Clubs",25.7,4.3,70.0
"3 of Diamonds, 2 of Clubs",10.0,2.1,87.9
"3 of Diamonds, 3 of Clubs",18.3,0.6,81.0
"3 of Diamonds, 4 of Clubs",11.7,2.3,86.0
"3 of Diamonds, 5 of Clubs",12.1,2.7,85.2
"3 of Diamonds, 6 of Clubs",10.8,2.5,86.6
"3 of Diamonds, 7 of Clubs",10.5,2.3,87.2
"3 of Diamonds, 8 of Clubs",9.9,2.4,87.7
"3 of Diamonds, 9 of Clubs",10.6,2.5,87.0
"3 of Diamonds, 10 of Clubs",12.7,3.2,84.1
"3 of Diamonds, J of Clubs",13.9,2.6,83.6
"3 of Diamonds, Q of Clubs",16.4,2.9,80.7
"3 of Diamonds, K of Clubs",19.5,3.4,77.1
"3 of Diamonds, A of Clubs",25.6,4.0,70.4
"4 of Diamonds, 2 of Clubs",10.1,2.0,87.9
"4 of Diamonds, 3 of Clubs",11.5,1.9,86.6
"4 of Diamonds, 4 of Clubs",19.5,0.6,79.9
"4 of Diamonds, 5 of Clubs",13.3,2.6,84.1
"4 of Diamonds, 6 of Clubs",12.0,2.7,85.3
"4 of Diamonds, 7 of Clubs",11.4,2.6,86.0
"4 of Diamonds, 8 of Clubs",11.1,2.9,86.1
"4 of Diamonds, 9 of Clubs",10.9,2.6,86.6
"4 of Diamonds, 10 of Clubs",12.8,2.6,84.6
"4 of Diamonds, J of Clubs",13.9,3.2,82.9
"4 of Diamonds, Q of Clubs",15.7,3.2,81.0
"4 of Diamonds, K of Clubs",20.2,3.6,76.2
"4 of Diamonds, A of Clubs",24.9,4.4,70.7
"5 of Diamonds, 2 of Clubs",11.1,2.3,86.6
"5 of Diamonds, 3 of Clubs",11.9,2.5,85.6
"5 of Diamonds, 4 of Clubs",13.9,2.6,83.5
"5 of Diamonds, 5 of Clubs",20.1,0.9,79.0
"5 of Diamonds, 6 of Clubs",13.4,2.7,83.9
"5 of Diamonds, 7 of Clubs",13.5,2.7,83.8
"5 of Diamonds, 8 of Clubs",12.5,2.9,84.6
"5 of Diamonds, 9 of Clubs",12.6,2.8,84.6
"5 of Diamonds, 10 of Clubs",12.2,3.1,84.7
"5 of Diamonds, J of Clubs",14.2,3.1,82.7
"5 of Diamonds, Q of Clubs",16.2,3.0,80.8
"5 of Diamonds, K of Clubs",19.8,3.8,76.4
"5 of Diamonds, A of Clubs",25.7,4.2,70.1
"6 of Diamonds, 2 of Clubs",10.2,2.4,87.4
"6 of Diamonds, 3 of Clubs",11.1,2.3,86.6
"6 of Diamonds, 4 of Clubs",12.4,2.7,84.9
"6 of Diamonds, 5 of Clubs",13.4,2.6,84.0
"6 of Diamonds, 6 of Clubs",21.3,0.9,77.7
"6 of Diamonds, 7 of Clubs",14.8,2.8,82.5
"6 of Diamonds, 8 of Clubs",13.8,2.9,83.3
"6 of Diamonds, 9 of Clubs",13.4,2.8,83.9
"6 of Diamonds, 10 of Clubs",13.6,2.9,83.5
"6 of Diamonds, J of Clubs",14.4,3.4,82.3
"6 of Diamonds, Q of Clubs",16.1,3.0,80.9
"6 of Diamonds, K of Clubs",21.2,3.5,75.3
"6 of Diamonds, A of Clubs",24.7,4.2,71.2
"7 of Diamonds, 2 of Clubs",9.0,2.7,88.3
"7 of Diamonds, 3 of Clubs",10.2,2.4,87.4
"7 of Diamonds, 4 of Clubs",11.6,2.6,85.9
"7 of Diamonds, 5 of Clubs",13.1,2.9,83.9
"7 of Diamonds, 6 of Clubs",13.8,2.5,83.7
"7 of Diamonds, 7 of Clubs",22.0,0.8,77.2
"7 of Diamonds, 8 of Clubs",14.8,2.7,82.5
"7 of Diamonds, 9 of Clubs",15.4,2.7,81.9
"7 of Diamonds, 10 of Clubs",14.9,3.1,82.1
"7 of Diamonds, J of Clubs",15.5,3.0,81.5
"7 of Diamonds, Q of Clubs",17.0,3.0,80.0
"7 of Diamonds, K of Clubs",20.4,3.3,76.3
"7 of Diamonds, A of Clubs",25.2,4.0,70.7
"8 of Diamonds, 2 of Clubs",9.7,2.4,87.8
"8 of Diamonds, 3 of Clubs",10.0,2.4,87.6
"8 of Diamonds, 4 of Clubs",11.3,2.8,85.9
"8 of Diamonds, 5 of Clubs",12.9,2.5,84.6
"8 of Diamonds, 6 of Clubs",13.9,2.8,83.4
"8 of Diamonds, 7 of Clubs",15.5,2.8,81.7
"8 of Diamonds, 8 of Clubs",24.6,0.8,74.6
"8 of Diamonds, 9 of Clubs",16.9,2.6,80.4
"8 of Diamonds, 10 of Clubs",16.8,2.9,80.2
"8 of Diamonds, J of Clubs",17.0,3.0,80.0
"8 of Diamonds, Q of Clubs",18.4,2.8,78.8
"8 of Diamonds, K of Clubs",21.0,2.9,76.1
"8 of Diamonds, A of Clubs",25.9,3.9,70.3
"9 of Diamonds, 2 of Clubs",10.6,2.6,86.8
"9 of Diamonds, 3 of Clubs",10.6,2.5,86.9
"9 of Diamonds, 4 of Clubs",10.5,2.7,86.8
"9 of Diamonds, 5 of Clubs",11.9,2.7,85.3
"9 of Diamonds, 6 of Clubs",13.1,2.8,84.1
"9 of Diamonds, 7 of Clubs",14.6,2.6,82.8
"9 of Diamonds, 8 of Clubs",16.7,2.7,80.6
"9 of Diamonds, 9 of Clubs",26.0,0.7,73.3
"9 of Diamonds, 10 of Clubs",18.7,2.8,78.5
"9 of Diamonds, J of Clubs",19.8,2.6,77.6
"9 of Diamonds, Q of Clubs",19.8,3.0,77.2
"9 of Diamonds, K of Clubs",22.6,2.6,74.8
"9 of Diamonds, A of Clubs",27.3,3.6,69.1
"10 of Diamonds, 2 of Clubs",11.4,3.0,85.6
"10 of Diamonds, 3 of Clubs",11.6,3.2,85.1
"10 of Diamonds, 4 of Clubs",12.4,3.0,84.6
"10 of Diamonds, 5 of Clubs",12.8,3.0,84.2
"10 of Diamonds, 6 of Clubs",14.2,2.9,82.9
"10 of Diamonds, 7 of Clubs",15.3,2.8,82.0
"10 of Diamonds, 8 of Clubs",16.3,2.8,80.8
"10 of Diamonds, 9 of Clubs",17.9,3.2,78.9
"10 of Diamonds, 10 of Clubs",29.6,0.8,69.6
"10 of Diamonds, J of Clubs",20.7,2.6,76.7
"10 of Diamonds, Q of Clubs",21.8,2.7,75.5
"10 of Diamonds, K of Clubs",25.4,2.9,71.7
"10 of Diamonds, A of Clubs",29.0,3.6,67.4
"J of Diamonds, 2 of Clubs",13.4,2.7,83.9
"J of Diamonds, 3 of Clubs",13.7,2.9,83.3
"J of Diamonds, 4 of Clubs",14.6,2.9,82.5
"J of Diamonds, 5 of Clubs",14.6,2.8,82.5
"J of Diamonds, 6 of Clubs",14.8,3.0,82.3
"J of Diamonds, 7 of Clubs",15.7,3.1,81.2
"J of Diamonds, 8 of Clubs",17.2,2.9,80.0
"J of Diamonds, 9 of Clubs",18.7,2.8,78.5
"J of Diamonds, 10 of Clubs",21.9,2.4,75.7
"J of Diamonds, J of Clubs",31.8,0.8,67.4
"J of Diamonds, Q of Clubs",23.8,2.5,73.8
"J of Diamonds, K of Clubs",26.0,2.5,71.5
"J of Diamonds, A of Clubs",30.2,3.1,66.7
"Q of Diamonds, 2 of Clubs",15.8,3.1,81.1
"Q of Diamonds, 3 of Clubs",16.0,3.0,81.0
"Q of Diamonds, 4 of Clubs",15.7,3.4,80.9
"Q of Diamonds, 5 of Clubs",16.4,3.5,80.2
"Q of Diamonds, 6 of Clubs",17.0,3.4,79.6
"Q of Diamonds, 7 of Clubs",16.8,2.9,80.3
"Q of Diamonds, 8 of Clubs",18.5,2.8,78.7
"Q of Diamonds, 9 of Clubs",20.4,2.6,77.0
"Q of Diamonds, 10 of Clubs",22.2,2.5,75.3
"Q of Diamonds, J of Clubs",22.9,2.5,74.6
"Q of Diamonds, Q of Clubs",37.4,0.8,61.8
"Q of Diamonds, K of Clubs",25.7,2.2,72.1
"Q of Diamonds, A of Clubs",31.0,2.9,66.1
"K of Diamonds, 2 of Clubs",19.0,3.5,77.5
"K of Diamonds, 3 of Clubs",19.7,3.4,76.9
"K of Diamonds, 4 of Clubs",19.7,3.6,76.7
"K of Diamonds, 5 of Clubs",19.8,3.6,76.5
"K of Diamonds, 6 of Clubs",20.8,3.8,75.4
"K of Diamonds, 7 of Clubs",20.6,3.7,75.6
"K of Diamonds, 8 of Clubs",20.7,3.1,76.2
"K of Diamonds, 9 of Clubs",22.5,3.0,74.5
"K of Diamonds, 10 of Clubs",24.5,3.2,72.3
"K of Diamonds, J of Clubs",25.3,2.5,72.1
"K of Diamonds, Q of Clubs",26.5,2.1,71.4
"K of Diamonds, K of Clubs",45.1,0.7,54.2
"K of Diamonds, A of Clubs",31.7,2.4,65.9
"A of Diamonds, 2 of Clubs",25.6,4.2,70.3
"A of Diamonds, 3 of Clubs",25.4,4.4,70.3
"A of Diamonds, 4 of Clubs",25.1,4.1,70.8
"A of Diamonds, 5 of Clubs",25.5,4.6,69.8
"A of Diamonds, 6 of Clubs",25.4,4.0,70.6
"A of Diamonds, 7 of Clubs",25.5,4.0,70.5
"A of Diamonds, 8 of Clubs",25.9,3.9,70.2
"A of Diamonds, 9 of Clubs",26.2,3.5,70.3
"A of Diamonds, 10 of Clubs",28.9,3.3,67.8
"A of Diamonds, J of Clubs",29.3,2.6,68.2
"A of Diamonds, Q of Clubs",31.9,2.6,65.5
"A of Diamonds, K of Clubs",31.6,2.2,66.2
"A of Diamonds, A of Clubs",55.7,0.7,43.6
"2 of Diamonds, 3 of Diamonds",13.8,1.9,84.4
"2 of Diamonds, 4 of Diamonds",15.0,2.3,82.7
"2 of Diamonds, 5 of Diamonds",15.0,2.3,82.7
"2 of Diamonds, 6 of Diamonds",14.9,2.5,82.6
"2 of Diamonds, 7 of Diamonds",13.7,2.4,83.9
